vector_offset,normal_target,normal_name,alternate_target,alternate_name,notes
0x0068,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x006A,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x006C,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x006E,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x0070,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x0072,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x0074,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x0076,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x0078,0x7588,i2c2_master_isr,0x1988,i2c2_master_isr_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x007A,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x007C,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x007E,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x0080,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x0082,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x0084,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x0086,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x0088,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x008A,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x008C,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x008E,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x0090,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x0092,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x0094,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x0096,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x0098,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x009A,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x009C,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x009E,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x00A0,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x00A2,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x00A4,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x00A6,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x00A8,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x00AA,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x00AC,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x00AE,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x00B0,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x00B2,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x00B4,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x00B6,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x00B8,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x00BA,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x00BC,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x00BE,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x00C0,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x00C2,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x00C4,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x00C6,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x00C8,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x00CA,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x00CC,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x00CE,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x00D0,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x00D2,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x00D4,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x00D6,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x00D8,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x00DA,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x00DC,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x00DE,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x00E0,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x00E2,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x00E4,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x00E6,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x00E8,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x00EA,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x00EC,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x00EE,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x00F0,0x90FE,adc_pair_isr_b,0x34FE,adc_pair_isr_b_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x00F2,0x9458,adc_pair_isr_c,0x3858,adc_pair_isr_c_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x00F4,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x00F6,0x87D0,adc_pair_isr_d,0x2BD0,adc_pair_isr_d_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x00F8,0x9D62,adc_pair_isr_e,0x4162,adc_pair_isr_e_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x00FA,0x8D38,adc_pair_isr_f,0x3138,adc_pair_isr_f_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x00FC,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
0x00FE,0xA20C,default_reset_loop,0x460C,default_reset_loop_low,normal IVT points to high image; alternate IVT points to corresponding low image
