program_addr,stock_index,stock_opcode,stock_asm,pico_index,pico_opcode,pico_asm,mirror_of,interpretation
0xA270,20793,FFFFFF,NOPR,20793,ABE8C9,"BTST 0x8C9, #7",0x4670,High mirror inserted current-sample substitute helper.
0xA272,20794,FFFFFF,NOPR,20794,3A0005,"BRA NZ, 0xA27E",0x4672,Unclassified program-memory change.
0xA274,20795,FFFFFF,NOPR,20795,203A31,"MOV #0x3A3, W1",0x4674,Unclassified program-memory change.
0xA276,20796,FFFFFF,NOPR,20796,887551,"MOV W1, 0xEAA",0x4676,Unclassified program-memory change.
0xA278,20797,FFFFFF,NOPR,20797,200002,"MOV #0x0, W2",0x4678,Unclassified program-memory change.
0xA27A,20798,FFFFFF,NOPR,20798,887562,"MOV W2, 0xEAC",0x467A,Unclassified program-memory change.
0xA27C,20799,FFFFFF,NOPR,20799,370004,BRA 0xA286,0x467C,Unclassified program-memory change.
0xA27E,20800,FFFFFF,NOPR,20800,200DE1,"MOV #0xDE, W1",0x467E,Unclassified program-memory change.
0xA280,20801,FFFFFF,NOPR,20801,887551,"MOV W1, 0xEAA",0x4680,Unclassified program-memory change.
0xA282,20802,FFFFFF,NOPR,20802,200CC2,"MOV #0xCC, W2",0x4682,Unclassified program-memory change.
0xA284,20803,FFFFFF,NOPR,20803,887562,"MOV W2, 0xEAC",0x4684,Unclassified program-memory change.
0xA286,20804,FFFFFF,NOPR,20804,060000,RETURN,0x4686,Unclassified program-memory change.
0xA2A0,20817,FFFFFF,NOPR,20817,AB08C8,"BTST 0x8C8, #0",0x46A0,High mirror inserted CC-limit clamp/apply helper.
0xA2A2,20818,FFFFFF,NOPR,20818,32000D,"BRA Z, 0xA2BE",0x46A2,Unclassified program-memory change.
0xA2A4,20819,FFFFFF,NOPR,20819,804620,"MOV 0x8C4, W0",0x46A4,Unclassified program-memory change.
0xA2A6,20820,FFFFFF,NOPR,20820,205001,"MOV #0x500, W1",0x46A6,Unclassified program-memory change.
0xA2A8,20821,FFFFFF,NOPR,20821,500F81,"SUB W0, W1, [W15]",0x46A8,Unclassified program-memory change.
0xA2AA,20822,FFFFFF,NOPR,20822,3E0001,"BRA GTU, 0xA2AE",0x46AA,Unclassified program-memory change.
0xA2AC,20823,FFFFFF,NOPR,20823,884621,"MOV W1, 0x8C4",0x46AC,Unclassified program-memory change.
0xA2AE,20824,FFFFFF,NOPR,20824,807280,"MOV 0xE50, W0",0x46AE,Unclassified program-memory change.
0xA2B0,20825,FFFFFF,NOPR,20825,804621,"MOV 0x8C4, W1",0x46B0,Unclassified program-memory change.
0xA2B2,20826,FFFFFF,NOPR,20826,500F81,"SUB W0, W1, [W15]",0x46B2,Unclassified program-memory change.
0xA2B4,20827,FFFFFF,NOPR,20827,3E0001,"BRA GTU, 0xA2B8",0x46B4,Unclassified program-memory change.
0xA2B6,20828,FFFFFF,NOPR,20828,884620,"MOV W0, 0x8C4",0x46B6,Unclassified program-memory change.
0xA2B8,20829,FFFFFF,NOPR,20829,804620,"MOV 0x8C4, W0",0x46B8,Unclassified program-memory change.
0xA2BA,20830,FFFFFF,NOPR,20830,887280,"MOV W0, 0xE50",0x46BA,Unclassified program-memory change.
0xA2BC,20831,FFFFFF,NOPR,20831,370002,BRA 0xA2C2,0x46BC,Unclassified program-memory change.
0xA2BE,20832,FFFFFF,NOPR,20832,807280,"MOV 0xE50, W0",0x46BE,Unclassified program-memory change.
0xA2C0,20833,FFFFFF,NOPR,20833,000000,NOP,0x46C0,Unclassified program-memory change.
0xA2C2,20834,FFFFFF,NOPR,20834,806670,"MOV 0xCCE, W0",0x46C2,Unclassified program-memory change.
0xA2C4,20835,FFFFFF,NOPR,20835,886660,"MOV W0, 0xCCC",0x46C4,Unclassified program-memory change.
0xA2C6,20836,FFFFFF,NOPR,20836,060000,RETURN,0x46C6,Unclassified program-memory change.
