target_addr,count,first_instruction
0x9AE4,2,"MOV #0x5C00, W0"
0x9AF8,2,"MOV.D W8, [W15++]"
0x9C3A,2,"MOV 0xD4C, W4"
0x0422,1,"BCLR CORCON, #2"
0x0432,1,"MOV W1, TBLPAG"
0x3C44,1,"BSET 0x83, #7"
0x046C,1,"TBLRDL.B [W1++], [W2++]"
0x0B5E,1,"MOV 0xDAA, W0"
0x0C0A,1,CP0.B 0x877
0x0BCE,1,"BSET 0x8E6, #2"
0x13B4,1,"MOV W8, [W15++]"
0x20C6,1,"MOV 0x9B6, W1"
0x1F7A,1,"MOV 0x9B6, W2"
0x2478,1,"BTST 0x9D4, #4"
0x2400,1,"MOV 0x88E, W1"
0x24D6,1,"MOV 0x8A0, W2"
0x280C,1,"BTST 0x9FE, #2"
0x2840,1,"BCLR 0x2F5, #0"
0x2504,1,"MOV 0xE1E, W0"
0x2844,1,"MOV 0x8C0, W0"
0x05AA,1,"MUL.UU W4, #0, W4"
0x2DD0,1,"MOV 0x84A, W0"
0x2E1A,1,"MOV 0x826, W2"
0x2F06,1,"BTST 0x85F, #4"
0x2E86,1,"MOV 0x896, W1"
0x2F72,1,"MOV 0x844, W1"
0x2E48,1,"BTST 0x85F, #2"
0x32A0,1,"MOV 0x80E, W1"
0x331E,1,"MOV 0xE1E, W0"
0x3382,1,"MOV 0xE1E, W0"
0x33B2,1,"MOV 0xA06, W2"
0x06DC,1,PUSH.S
0x5B00,1,PUSH WREG0
0x3AB8,1,"MOV PDC6, W1"
0x393A,1,"MOV.D W8, [W15++]"
0x0720,1,"MOV W0, [W15++]"
0x3BBE,1,"MOV #0x806, W0"
0x3BE4,1,"BSET 0x401, #2"
0x43C4,1,"MOV #0x29, W0"
0x4404,1,CLR W0
0x4442,1,"MOV #0x9C40, W0"
0x2328,1,"MOV #0x1A, W0"
0x3FDE,1,"BSET 0x2D5, #7"
0x3C16,1,RCALL 0x3BBE
0x30EC,1,"BSET 0x483, #6"
0x4452,1,CLR W1
0x14EC,1,"MOV W8, [W15++]"
0x0744,1,LNK #0x4
0x1964,1,"BCLR 0xDCA, #0"
0x196A,1,"BTST 0xDCA, #0"
0x07D8,1,"MOV 0xA18, W0"
0x2350,1,"MOV 0x9CC, W0"
0x3DAA,1,"BTST 0x88A, #4"
0x4124,1,RCALL 0x40A2
0x34F4,1,RCALL 0x32A0
0x167A,1,"MOV W8, [W15++]"
0x3DD2,1,"MOV 0x816, W0"
0x3E10,1,"MOV 0x81C, W1"
0x3E48,1,RCALL 0x3AE4
0x3E64,1,"MOV 0xE1E, W0"
0x3EB4,1,"MOV 0x8C0, W1"
0x28A4,1,RCALL 0x2504
0x3F46,1,"BTST 0xDCA, #3"
0x3FEA,1,"BTST 0x9A6, #2"
0x3F1E,1,"BCLR IEC0, #3"
0x3F32,1,"BSET IEC0, #3"
0x3916,1,"BSET 0x9F0, #5"
0x3ADE,1,RCALL 0x3AB8
0x3054,1,"BTST 0x85E, #4"
0x3AE4,1,"MOV 0x9F0, W4"
0x437E,1,"MOV.D W8, [W15++]"
0x42DE,1,"ADD W15, #0x4, W15"
0x3FBA,1,"BTST 0xA32, #1"
0x40A2,1,"MOV 0xA1E, W1"
0x3A2A,1,"BTST 0x9D5, #0"
0x3340,1,"MOV 0xE1E, W0"
0x4274,1,"MOV.B WREG, TBLPAG"
0x426C,1,"MOV.B WREG, TBLPAG"
0x4252,1,"MOV W0, NVMCON"
0x427E,1,"MOV #0x32, W3"
0x5022,1,"BCLR CORCON, #2"
0x5032,1,"MOV W1, TBLPAG"
0x550E,1,RCALL 0x5A22
0x506C,1,"TBLRDL.B [W1++], [W2++]"
0x53EA,1,"MOV 0xBB2, W0"
0x50A8,1,NOP
0x5A22,1,"MOV #0x29, W0"
0x5A62,1,CLR W1
0x5A80,1,"MOV #0x9C40, W0"
0x5A8C,1,"BSET 0x483, #6"
0x55F6,1,LNK #0x4
0x5092,1,"BCLR 0xA42, #1"
0x5096,1,"BTST 0xA42, #1"
0x5398,1,"MOV #0x4, W0"
0x593A,1,LNK #0x4
0x53A4,1,"MOV #0x1, W0"
0x563A,1,LNK #0x8
0x0400,1,"MOV #0xEB6, W15"
0x5708,1,"MOV #0x3, W0"
0x50B8,1,CLR 0xA3C
0x5964,1,INC 0xB98
0x543E,1,CLR W1
0x5742,1,"BTST 0xA42, #2"
0x5796,1,"MOV.B WREG, TBLPAG"
0x57A4,1,"MOV #0x32, W3"
0x594E,1,LNK #0x4
0x6022,1,"BCLR CORCON, #2"
0x6032,1,"MOV W1, TBLPAG"
0x9844,1,"BCLR 0x83, #7"
0x606C,1,"TBLRDL.B [W1++], [W2++]"
0x675E,1,"MOV 0xDAA, W0"
0x680A,1,CP0.B 0x877
0x67CE,1,"BSET 0x8E6, #2"
0x6FB4,1,"MOV W8, [W15++]"
0x7CC6,1,"MOV 0x9B6, W1"
0x7B7A,1,"MOV 0x9B6, W2"
0x8078,1,"BTST 0x9D4, #4"
0x8000,1,"MOV 0x88E, W1"
0x80D6,1,"MOV 0x8A0, W2"
0x840C,1,"BTST 0x9FE, #2"
0x8440,1,"BCLR 0x2F5, #0"
0x8104,1,"MOV 0xE1E, W0"
0x8444,1,"MOV 0x8C0, W0"
0x61AA,1,"MUL.UU W4, #0, W4"
0x89D0,1,"MOV 0x84A, W0"
0x8A1A,1,"MOV 0x826, W2"
0x8B06,1,"BTST 0x85F, #4"
0x8A86,1,"MOV 0x896, W1"
0x8B72,1,"MOV 0x844, W1"
0x8A48,1,"BTST 0x85F, #2"
0x8EA0,1,"MOV 0x80E, W1"
0x8F1E,1,"MOV 0xE1E, W0"
0x8F82,1,"MOV 0xE1E, W0"
0x8FB2,1,"MOV 0xA06, W2"
0x62DC,1,PUSH.S
0xA220,1,PUSH WREG0
0x96B8,1,"MOV PDC6, W1"
0x953A,1,"MOV.D W8, [W15++]"
0x6320,1,"MOV W0, [W15++]"
0x97BE,1,"MOV #0x806, W0"
0x97E4,1,"BSET 0x401, #2"
0x9FC4,1,"MOV #0x29, W0"
0xA004,1,CLR W0
0xA042,1,"MOV #0x9C40, W0"
0x7F28,1,"MOV #0x1A, W0"
0x9BDE,1,"BSET 0x2D5, #7"
0x9816,1,RCALL 0x97BE
0x8CEC,1,"BSET 0x483, #6"
0xA052,1,CLR W1
0x70EC,1,"MOV W8, [W15++]"
0x6344,1,LNK #0x4
0x7564,1,"BCLR 0xDCA, #0"
0x756A,1,"BTST 0xDCA, #0"
0x63D8,1,"MOV 0xA18, W0"
0x7F50,1,"MOV 0x9CC, W0"
0x99AA,1,"BTST 0x88A, #4"
0x9D24,1,RCALL 0x9CA2
0x90F4,1,RCALL 0x8EA0
0x727A,1,"MOV W8, [W15++]"
0x99D2,1,"MOV 0x816, W0"
0x9A10,1,"MOV 0x81C, W1"
0x9A48,1,RCALL 0x96E4
0x9A64,1,"MOV 0xE1E, W0"
0x9AB4,1,"MOV 0x8C0, W1"
0x84A4,1,RCALL 0x8104
0x9B46,1,"BTST 0xDCA, #3"
0x9BEA,1,"BTST 0x9A6, #2"
0x9B1E,1,"BCLR IEC0, #3"
0x9B32,1,"BSET IEC0, #3"
0x9516,1,"BSET 0x9F0, #5"
0x96DE,1,RCALL 0x96B8
0x8C54,1,"BTST 0x85E, #4"
0x96E4,1,"MOV 0x9F0, W4"
0x9F7E,1,"MOV.D W8, [W15++]"
0x9EDE,1,"ADD W15, #0x4, W15"
0x9BBA,1,"BTST 0xA32, #1"
0x9CA2,1,"MOV 0xA1E, W1"
0x962A,1,"BTST 0x9D5, #0"
0x8F40,1,"MOV 0xE1E, W0"
0x9E74,1,"MOV.B WREG, TBLPAG"
0x9E6C,1,"MOV.B WREG, TBLPAG"
0x9E52,1,"MOV W0, NVMCON"
0x9E7E,1,"MOV #0x32, W3"
