caller_addr,call_type,target_addr,target_first_instruction
0x169E,RCALL,0x1480,"MOV.D W8, [W15++]"
0x16A8,RCALL,0x1480,"MOV.D W8, [W15++]"
0x16B2,RCALL,0x1480,"MOV.D W8, [W15++]"
0x16BC,RCALL,0x1480,"MOV.D W8, [W15++]"
0x16C6,RCALL,0x1480,"MOV.D W8, [W15++]"
0x16D0,RCALL,0x1480,"MOV.D W8, [W15++]"
0x16DA,RCALL,0x1480,"MOV.D W8, [W15++]"
0x16E4,RCALL,0x1480,"MOV.D W8, [W15++]"
0x16EE,RCALL,0x1480,"MOV.D W8, [W15++]"
0x16F8,RCALL,0x1480,"MOV.D W8, [W15++]"
0x1702,RCALL,0x1480,"MOV.D W8, [W15++]"
0x170C,RCALL,0x1480,"MOV.D W8, [W15++]"
0x1722,RCALL,0x1480,"MOV.D W8, [W15++]"
0x1732,RCALL,0x1480,"MOV.D W8, [W15++]"
0x173C,RCALL,0x1480,"MOV.D W8, [W15++]"
0x1748,RCALL,0x1480,"MOV.D W8, [W15++]"
0x1754,RCALL,0x1480,"MOV.D W8, [W15++]"
0x176C,RCALL,0x1480,"MOV.D W8, [W15++]"
0x17C0,RCALL,0x1480,"MOV.D W8, [W15++]"
0x17CE,RCALL,0x1480,"MOV.D W8, [W15++]"
0x17DE,RCALL,0x1480,"MOV.D W8, [W15++]"
0x17F2,RCALL,0x13F8,"MOV.D W8, [W15++]"
0x1810,RCALL,0x13F8,"MOV.D W8, [W15++]"
0x183C,RCALL,0x13F8,"MOV.D W8, [W15++]"
0x184C,RCALL,0x13F8,"MOV.D W8, [W15++]"
0x1866,RCALL,0x13F8,"MOV.D W8, [W15++]"
0x1890,RCALL,0x13F8,"MOV.D W8, [W15++]"
0x18A8,RCALL,0x1480,"MOV.D W8, [W15++]"
0x18C6,RCALL,0x1480,"MOV.D W8, [W15++]"
0x18E8,RCALL,0x1480,"MOV.D W8, [W15++]"
0x1900,RCALL,0x13F8,"MOV.D W8, [W15++]"
0x190E,RCALL,0x13F8,"MOV.D W8, [W15++]"
0x1948,RCALL,0x13F8,"MOV.D W8, [W15++]"
0x1E8C,RCALL,0x0BBE,RCALL 0xB5E
0x1F14,RCALL,0x0BBE,RCALL 0xB5E
0x221E,RCALL,0x20C6,"MOV 0x9B6, W1"
0x224E,RCALL,0x1F7A,"MOV 0x9B6, W2"
0x23A2,RCALL,0x1F54,"MOV.D W0, W2"
0x23C8,RCALL,0x1F30,"MOV W0, W2"
0x23D0,RCALL,0x1F30,"MOV W0, W2"
0x23D8,RCALL,0x1F30,"MOV W0, W2"
0x23E2,RCALL,0x1F54,"MOV.D W0, W2"
0x23EC,RCALL,0x1F54,"MOV.D W0, W2"
0x259A,RCALL,0x2478,"BTST 0x9D4, #4"
0x26E0,RCALL,0x2400,"MOV 0x88E, W1"
0x2808,RCALL,0x24D6,"MOV 0x8A0, W2"
0x289C,RCALL,0x280C,"BTST 0x9FE, #2"
0x28A0,RCALL,0x2840,"BCLR 0x2F5, #0"
0x28A4,RCALL,0x2504,"MOV 0xE1E, W0"
0x28A6,RCALL,0x2844,"MOV 0x8C0, W0"
0x2A4E,RCALL,0x0490,"MOV.D W8, [W15++]"
0x2A5A,RCALL,0x04E8,"MOV.D W8, [W15++]"
0x2A64,RCALL,0x05A2,"MOV #0xFFFF, W4"
0x2A86,RCALL,0x05A6,"MOV #0x1, W4"
0x2D4A,RCALL,0x05AA,"MUL.UU W4, #0, W4"
0x2F80,RCALL,0x2DD0,"MOV 0x84A, W0"
0x2F90,RCALL,0x2E1A,"MOV 0x826, W2"
0x2F92,RCALL,0x2F06,"BTST 0x85F, #4"
0x307E,RCALL,0x2FC2,"MOV W0, W2"
0x3086,RCALL,0x2FC2,"MOV W0, W2"
0x30E4,RCALL,0x2E86,"MOV 0x896, W1"
0x30E6,RCALL,0x2F72,"MOV 0x844, W1"
0x30E8,RCALL,0x2E48,"BTST 0x85F, #2"
0x3116,RCALL,0x3D82,"MOV W0, W1"
0x3158,RCALL,0x0490,"MOV.D W8, [W15++]"
0x3164,RCALL,0x04E8,"MOV.D W8, [W15++]"
0x316E,RCALL,0x05A2,"MOV #0xFFFF, W4"
0x3184,RCALL,0x05A6,"MOV #0x1, W4"
0x329C,RCALL,0x38C0,"BCLR 0x9D4, #4"
0x32F8,RCALL,0x3228,"MOV #0x2, W0"
0x333C,RCALL,0x3228,"MOV #0x2, W0"
0x3368,RCALL,0x3228,"MOV #0x2, W0"
0x33AE,RCALL,0x3228,"MOV #0x2, W0"
0x34F0,RCALL,0x3228,"MOV #0x2, W0"
0x34F4,RCALL,0x32A0,"MOV 0x80E, W1"
0x34F6,RCALL,0x331E,"MOV 0xE1E, W0"
0x34F8,RCALL,0x3382,"MOV 0xE1E, W0"
0x34FA,RCALL,0x33B2,"MOV 0xA06, W2"
0x3816,CALL,0x06DC,PUSH.S
0x3984,RCALL,0x0490,"MOV.D W8, [W15++]"
0x398E,RCALL,0x04E8,"MOV.D W8, [W15++]"
0x3994,RCALL,0x04E8,"MOV.D W8, [W15++]"
0x3996,RCALL,0x05CA,"MOV.D W0, W2"
0x39A6,RCALL,0x0490,"MOV.D W8, [W15++]"
0x39B0,RCALL,0x04E8,"MOV.D W8, [W15++]"
0x39B6,RCALL,0x04E8,"MOV.D W8, [W15++]"
0x39B8,RCALL,0x05CA,"MOV.D W0, W2"
0x39C0,RCALL,0x0490,"MOV.D W8, [W15++]"
0x39CA,RCALL,0x04E8,"MOV.D W8, [W15++]"
0x39D0,RCALL,0x05A6,"MOV #0x1, W4"
0x3ADE,RCALL,0x3AB8,"MOV PDC6, W1"
0x3AE0,RCALL,0x393A,"MOV.D W8, [W15++]"
0x3B60,RCALL,0x38C0,"BCLR 0x9D4, #4"
0x3BC8,RCALL,0x0720,"MOV W0, [W15++]"
0x3C12,RCALL,0x38C0,"BCLR 0x9D4, #4"
0x3C16,RCALL,0x3BBE,"MOV #0x806, W0"
0x3C18,RCALL,0x3BE4,"BSET 0x401, #2"
0x3C46,RCALL,0x43C4,"MOV #0x29, W0"
0x3C48,RCALL,0x3EE4,"MOV #0x5C00, W0"
0x3C4A,RCALL,0x4404,CLR W0
0x3C4C,RCALL,0x4442,"MOV #0x9C40, W0"
0x3C4E,RCALL,0x2328,"MOV #0x1A, W0"
0x3C52,RCALL,0x3D82,"MOV W0, W1"
0x3C54,RCALL,0x3FDE,"BSET 0x2D5, #7"
0x3C56,RCALL,0x3C16,RCALL 0x3BBE
0x3C58,RCALL,0x30EC,"BSET 0x483, #6"
0x3C5A,RCALL,0x4452,CLR W1
0x3C66,RCALL,0x14EC,"MOV W8, [W15++]"
0x3C6C,RCALL,0x3D82,"MOV W0, W1"
0x3C72,RCALL,0x3D82,"MOV W0, W1"
0x3C74,RCALL,0x0744,LNK #0x4
0x3C76,RCALL,0x1964,"BCLR 0xDCA, #0"
0x3C78,RCALL,0x196A,"BTST 0xDCA, #0"
0x3C7A,RCALL,0x07D8,"MOV 0xA18, W0"
0x3C7C,RCALL,0x2350,"MOV 0x9CC, W0"
0x3C7E,RCALL,0x3DAA,"BTST 0x88A, #4"
0x3C80,RCALL,0x4124,RCALL 0x40A2
0x3C82,RCALL,0x34F4,RCALL 0x32A0
0x3C84,RCALL,0x167A,"MOV W8, [W15++]"
0x3C86,RCALL,0x3DD2,"MOV 0x816, W0"
0x3C88,RCALL,0x3E10,"MOV 0x81C, W1"
0x3C8A,RCALL,0x3E48,RCALL 0x3AE4
0x3C8C,RCALL,0x3E64,"MOV 0xE1E, W0"
0x3C8E,RCALL,0x3EB4,"MOV 0x8C0, W1"
0x3C90,RCALL,0x28A4,RCALL 0x2504
0x3C92,RCALL,0x3F46,"BTST 0xDCA, #3"
0x3CD0,RCALL,0x3FEA,"BTST 0x9A6, #2"
0x3CE8,RCALL,0x3F1E,"BCLR IEC0, #3"
0x3CEA,RCALL,0x3EF8,"MOV.D W8, [W15++]"
0x3CEC,RCALL,0x3F32,"BSET IEC0, #3"
0x3CF6,RCALL,0x4010,CLR W0
0x3D06,RCALL,0x3916,"BSET 0x9F0, #5"
0x3D10,RCALL,0x403A,"MOV 0xD4C, W4"
0x3D2C,RCALL,0x38C0,"BCLR 0x9D4, #4"
0x3D36,RCALL,0x403A,"MOV 0xD4C, W4"
0x3D38,RCALL,0x3ADE,RCALL 0x3AB8
0x3D3C,RCALL,0x38C0,"BCLR 0x9D4, #4"
0x3D40,RCALL,0x3D82,"MOV W0, W1"
0x3D5A,RCALL,0x3EE4,"MOV #0x5C00, W0"
0x3D72,RCALL,0x3EF8,"MOV.D W8, [W15++]"
0x3D74,GOTO,0x5000,"MOV #0xC40, W15"
0x3D7E,RCALL,0x3054,"BTST 0x85E, #4"
0x3DB4,RCALL,0x3D8E,"MOV #0xF, W0"
0x3DC2,RCALL,0x13F8,"MOV.D W8, [W15++]"
0x3DE2,RCALL,0x38C0,"BCLR 0x9D4, #4"
0x3E04,RCALL,0x3D8E,"MOV #0xF, W0"
0x3E2C,RCALL,0x38C0,"BCLR 0x9D4, #4"
0x3E48,RCALL,0x3AE4,"MOV 0x9F0, W4"
0x3EF0,RCALL,0x42A6,"MOV.D W8, [W15++]"
0x3F0A,RCALL,0x437E,"MOV.D W8, [W15++]"
0x3F18,RCALL,0x42DE,"ADD W15, #0x4, W15"
0x3FE0,RCALL,0x3FBA,"BTST 0xA32, #1"
0x40F6,RCALL,0x4010,CLR W0
0x4120,RCALL,0x3D8E,"MOV #0xF, W0"
0x4124,RCALL,0x40A2,"MOV 0xA1E, W1"
0x41C6,RCALL,0x3A2A,"BTST 0x9D5, #0"
0x41FE,RCALL,0x3340,"MOV 0xE1E, W0"
0x423E,RCALL,0x4010,CLR W0
0x42BA,RCALL,0x4274,"MOV.B WREG, TBLPAG"
0x4342,RCALL,0x426C,"MOV.B WREG, TBLPAG"
0x4360,RCALL,0x4252,"MOV W0, NVMCON"
0x43B0,RCALL,0x427E,"MOV #0x32, W3"
0x5008,RCALL,0x5022,"BCLR CORCON, #2"
0x500E,RCALL,0x5032,"MOV W1, TBLPAG"
0x5016,CALL,0x0000,GOTO 0x5000
0x501A,CALL,0x550E,RCALL 0x5A22
0x5062,RCALL,0x506C,"TBLRDL.B [W1++], [W2++]"
0x54B4,RCALL,0x53EA,"MOV 0xBB2, W0"
0x5502,RCALL,0x50A8,NOP
0x550E,RCALL,0x5A22,"MOV #0x29, W0"
0x5510,RCALL,0x5A62,CLR W1
0x5512,RCALL,0x5A80,"MOV #0x9C40, W0"
0x5526,RCALL,0x5A8C,"BSET 0x483, #6"
0x5528,RCALL,0x55F6,LNK #0x4
0x552A,RCALL,0x5092,"BCLR 0xA42, #1"
0x552C,RCALL,0x5096,"BTST 0xA42, #1"
0x552E,RCALL,0x5398,"MOV #0x4, W0"
0x5536,RCALL,0x5610,LNK #0x4
0x553C,RCALL,0x593A,LNK #0x4
0x5542,RCALL,0x53A4,"MOV #0x1, W0"
0x5552,RCALL,0x563A,LNK #0x8
0x5574,GOTO,0x0400,"MOV #0xEB6, W15"
0x557A,GOTO,0x6000,"MOV #0xEB6, W15"
0x558E,RCALL,0x58BC,"MOV.D W8, [W15++]"
0x559A,RCALL,0x5610,LNK #0x4
0x55A4,RCALL,0x5708,"MOV #0x3, W0"
0x55AC,RCALL,0x50B8,CLR 0xA3C
0x55B4,RCALL,0x5964,INC 0xB98
0x55BC,RCALL,0x543E,CLR W1
0x55D8,RCALL,0x5804,"MOV.D W8, [W15++]"
0x55E6,RCALL,0x5742,"BTST 0xA42, #2"
0x5606,RCALL,0x57CC,"MOV.D W8, [W15++]"
0x5624,RCALL,0x58BC,"MOV.D W8, [W15++]"
0x5632,RCALL,0x5804,"MOV.D W8, [W15++]"
0x5654,RCALL,0x57CC,"MOV.D W8, [W15++]"
0x5680,RCALL,0x57CC,"MOV.D W8, [W15++]"
0x57E0,RCALL,0x5796,"MOV.B WREG, TBLPAG"
0x5874,RCALL,0x578E,"MOV.B WREG, TBLPAG"
0x58A2,RCALL,0x5774,"MOV W0, NVMCON"
0x58EE,RCALL,0x57A4,"MOV #0x32, W3"
0x58FA,RCALL,0x594E,LNK #0x4
0x5912,RCALL,0x58BC,"MOV.D W8, [W15++]"
0x591C,RCALL,0x578E,"MOV.B WREG, TBLPAG"
0x5920,RCALL,0x5774,"MOV W0, NVMCON"
0x5932,RCALL,0x578E,"MOV.B WREG, TBLPAG"
0x5936,RCALL,0x5774,"MOV W0, NVMCON"
0x5948,RCALL,0x57CC,"MOV.D W8, [W15++]"
0x595E,RCALL,0x5804,"MOV.D W8, [W15++]"
0x5A0C,GOTO,0x6000,"MOV #0xEB6, W15"
0x6008,RCALL,0x6022,"BCLR CORCON, #2"
0x600E,RCALL,0x6032,"MOV W1, TBLPAG"
0x6016,CALL,0x0000,GOTO 0x5000
0x601A,CALL,0x9844,"BCLR 0x83, #7"
0x6062,RCALL,0x606C,"TBLRDL.B [W1++], [W2++]"
0x60DA,RCALL,0x6200,"MOV #0x8, W1"
0x60EE,RCALL,0x624C,"MOV.D W0, W8"
0x618C,RCALL,0x6200,"MOV #0x8, W1"
0x61CC,RCALL,0x62B2,"LSR W1, #7, W5"
0x624E,RCALL,0x62B2,"LSR W1, #7, W5"
0x6256,RCALL,0x62B2,"LSR W1, #7, W5"
0x6282,RCALL,0x624C,"MOV.D W0, W8"
0x63AA,RCALL,0x9EA6,"MOV.D W8, [W15++]"
0x66E6,RCALL,0x67BE,RCALL 0x675E
0x67BE,RCALL,0x675E,"MOV 0xDAA, W0"
0x686C,RCALL,0x9EA6,"MOV.D W8, [W15++]"
0x6892,RCALL,0x9EA6,"MOV.D W8, [W15++]"
0x6A98,RCALL,0x7080,"MOV.D W8, [W15++]"
0x6AA2,RCALL,0x6336,"BSET 0xD68, #3"
0x6AB2,RCALL,0x7080,"MOV.D W8, [W15++]"
0x6AC2,RCALL,0x6336,"BSET 0xD68, #3"
0x6BA2,RCALL,0x6840,LNK #0x8
0x6BB4,RCALL,0x68C2,"MOV.B #0x5E, W0"
0x6C82,RCALL,0x680A,CP0.B 0x877
0x6CB2,RCALL,0x642C,CLR W0
0x6CDA,RCALL,0x68C2,"MOV.B #0x5E, W0"
0x6D16,RCALL,0x642C,CLR W0
0x6D2A,RCALL,0x68C2,"MOV.B #0x5E, W0"
0x6E46,RCALL,0x642C,CLR W0
0x6E4E,RCALL,0x6840,LNK #0x8
0x6F00,RCALL,0x67CE,"BSET 0x8E6, #2"
0x6F04,RCALL,0x6F3E,CP0 W0
0x6F56,RCALL,0x6F3E,CP0 W0
0x6F5C,RCALL,0x6F3E,CP0 W0
0x6F68,RCALL,0x6F3E,CP0 W0
0x6F6E,RCALL,0x6F3E,CP0 W0
0x6F74,RCALL,0x6F3E,CP0 W0
0x6F90,RCALL,0x6F3E,CP0 W0
0x6F96,RCALL,0x6F3E,CP0 W0
0x6FC0,RCALL,0x6F3E,CP0 W0
0x6FE2,RCALL,0x6F3E,CP0 W0
0x6FEC,RCALL,0x6F3E,CP0 W0
0x7028,RCALL,0x6F4C,"BSET LATF, #0"
0x7030,RCALL,0x6F78,"MOV.D W8, [W15++]"
0x703C,RCALL,0x6F78,"MOV.D W8, [W15++]"
0x704C,RCALL,0x6F78,"MOV.D W8, [W15++]"
0x705E,RCALL,0x6F62,"BCLR LATF, #0"
0x70A6,RCALL,0x6F4C,"BSET LATF, #0"
0x70AE,RCALL,0x6F78,"MOV.D W8, [W15++]"
0x70BA,RCALL,0x6F78,"MOV.D W8, [W15++]"
0x70C4,RCALL,0x6F4C,"BSET LATF, #0"
0x70CA,RCALL,0x6F78,"MOV.D W8, [W15++]"
0x70D4,RCALL,0x6FB4,"MOV W8, [W15++]"
0x70DA,RCALL,0x6F62,"BCLR LATF, #0"
0x70F6,RCALL,0x7080,"MOV.D W8, [W15++]"
0x7128,RCALL,0x6FF8,"MOV.D W8, [W15++]"
0x7152,RCALL,0x6FF8,"MOV.D W8, [W15++]"
0x715E,RCALL,0x7080,"MOV.D W8, [W15++]"
0x7168,RCALL,0x7080,"MOV.D W8, [W15++]"
0x7172,RCALL,0x7080,"MOV.D W8, [W15++]"
0x717C,RCALL,0x7080,"MOV.D W8, [W15++]"
0x7186,RCALL,0x7080,"MOV.D W8, [W15++]"
0x7190,RCALL,0x7080,"MOV.D W8, [W15++]"
0x719A,RCALL,0x7080,"MOV.D W8, [W15++]"
0x71A4,RCALL,0x7080,"MOV.D W8, [W15++]"
0x71AE,RCALL,0x7080,"MOV.D W8, [W15++]"
0x71B8,RCALL,0x7080,"MOV.D W8, [W15++]"
0x71C2,RCALL,0x7080,"MOV.D W8, [W15++]"
0x71CC,RCALL,0x7080,"MOV.D W8, [W15++]"
0x71D6,RCALL,0x7080,"MOV.D W8, [W15++]"
0x71E0,RCALL,0x7080,"MOV.D W8, [W15++]"
0x71EA,RCALL,0x7080,"MOV.D W8, [W15++]"
0x71F2,RCALL,0x7080,"MOV.D W8, [W15++]"
0x71FA,RCALL,0x7080,"MOV.D W8, [W15++]"
0x7202,RCALL,0x7080,"MOV.D W8, [W15++]"
0x720A,RCALL,0x7080,"MOV.D W8, [W15++]"
0x7212,RCALL,0x7080,"MOV.D W8, [W15++]"
0x721A,RCALL,0x7080,"MOV.D W8, [W15++]"
0x7222,RCALL,0x7080,"MOV.D W8, [W15++]"
0x722A,RCALL,0x7080,"MOV.D W8, [W15++]"
0x7232,RCALL,0x7080,"MOV.D W8, [W15++]"
0x723A,RCALL,0x7080,"MOV.D W8, [W15++]"
0x7242,RCALL,0x7080,"MOV.D W8, [W15++]"
0x724A,RCALL,0x7080,"MOV.D W8, [W15++]"
0x7252,RCALL,0x7080,"MOV.D W8, [W15++]"
0x725A,RCALL,0x7080,"MOV.D W8, [W15++]"
0x7262,RCALL,0x7080,"MOV.D W8, [W15++]"
0x726A,RCALL,0x7080,"MOV.D W8, [W15++]"
0x7272,RCALL,0x7080,"MOV.D W8, [W15++]"
0x728A,RCALL,0x7080,"MOV.D W8, [W15++]"
0x7294,RCALL,0x7080,"MOV.D W8, [W15++]"
0x729E,RCALL,0x7080,"MOV.D W8, [W15++]"
0x72A8,RCALL,0x7080,"MOV.D W8, [W15++]"
0x72B2,RCALL,0x7080,"MOV.D W8, [W15++]"
0x72BC,RCALL,0x7080,"MOV.D W8, [W15++]"
0x72C6,RCALL,0x7080,"MOV.D W8, [W15++]"
0x72D0,RCALL,0x7080,"MOV.D W8, [W15++]"
0x72DA,RCALL,0x7080,"MOV.D W8, [W15++]"
0x72E4,RCALL,0x7080,"MOV.D W8, [W15++]"
0x72EE,RCALL,0x7080,"MOV.D W8, [W15++]"
0x72F8,RCALL,0x7080,"MOV.D W8, [W15++]"
0x7302,RCALL,0x7080,"MOV.D W8, [W15++]"
0x730C,RCALL,0x7080,"MOV.D W8, [W15++]"
0x7322,RCALL,0x7080,"MOV.D W8, [W15++]"
0x7332,RCALL,0x7080,"MOV.D W8, [W15++]"
0x733C,RCALL,0x7080,"MOV.D W8, [W15++]"
0x7348,RCALL,0x7080,"MOV.D W8, [W15++]"
0x7354,RCALL,0x7080,"MOV.D W8, [W15++]"
0x736C,RCALL,0x7080,"MOV.D W8, [W15++]"
0x73C0,RCALL,0x7080,"MOV.D W8, [W15++]"
0x73CE,RCALL,0x7080,"MOV.D W8, [W15++]"
0x73DE,RCALL,0x7080,"MOV.D W8, [W15++]"
0x73F2,RCALL,0x6FF8,"MOV.D W8, [W15++]"
0x7410,RCALL,0x6FF8,"MOV.D W8, [W15++]"
0x743C,RCALL,0x6FF8,"MOV.D W8, [W15++]"
0x744C,RCALL,0x6FF8,"MOV.D W8, [W15++]"
0x7466,RCALL,0x6FF8,"MOV.D W8, [W15++]"
0x7490,RCALL,0x6FF8,"MOV.D W8, [W15++]"
0x74A8,RCALL,0x7080,"MOV.D W8, [W15++]"
0x74C6,RCALL,0x7080,"MOV.D W8, [W15++]"
0x74E8,RCALL,0x7080,"MOV.D W8, [W15++]"
0x7500,RCALL,0x6FF8,"MOV.D W8, [W15++]"
0x750E,RCALL,0x6FF8,"MOV.D W8, [W15++]"
0x7548,RCALL,0x6FF8,"MOV.D W8, [W15++]"
0x7A8C,RCALL,0x67BE,RCALL 0x675E
0x7B14,RCALL,0x67BE,RCALL 0x675E
0x7E1E,RCALL,0x7CC6,"MOV 0x9B6, W1"
0x7E4E,RCALL,0x7B7A,"MOV 0x9B6, W2"
0x7FA2,RCALL,0x7B54,"MOV.D W0, W2"
0x7FC8,RCALL,0x7B30,"MOV W0, W2"
0x7FD0,RCALL,0x7B30,"MOV W0, W2"
0x7FD8,RCALL,0x7B30,"MOV W0, W2"
0x7FE2,RCALL,0x7B54,"MOV.D W0, W2"
0x7FEC,RCALL,0x7B54,"MOV.D W0, W2"
0x819A,RCALL,0x8078,"BTST 0x9D4, #4"
0x82E0,RCALL,0x8000,"MOV 0x88E, W1"
0x8408,RCALL,0x80D6,"MOV 0x8A0, W2"
0x849C,RCALL,0x840C,"BTST 0x9FE, #2"
0x84A0,RCALL,0x8440,"BCLR 0x2F5, #0"
0x84A4,RCALL,0x8104,"MOV 0xE1E, W0"
0x84A6,RCALL,0x8444,"MOV 0x8C0, W0"
0x864E,RCALL,0x6090,"MOV.D W8, [W15++]"
0x865A,RCALL,0x60E8,"MOV.D W8, [W15++]"
0x8664,RCALL,0x61A2,"MOV #0xFFFF, W4"
0x8686,RCALL,0x61A6,"MOV #0x1, W4"
0x894A,RCALL,0x61AA,"MUL.UU W4, #0, W4"
0x8B80,RCALL,0x89D0,"MOV 0x84A, W0"
0x8B90,RCALL,0x8A1A,"MOV 0x826, W2"
0x8B92,RCALL,0x8B06,"BTST 0x85F, #4"
0x8C7E,RCALL,0x8BC2,"MOV W0, W2"
0x8C86,RCALL,0x8BC2,"MOV W0, W2"
0x8CE4,RCALL,0x8A86,"MOV 0x896, W1"
0x8CE6,RCALL,0x8B72,"MOV 0x844, W1"
0x8CE8,RCALL,0x8A48,"BTST 0x85F, #2"
0x8D16,RCALL,0x9982,"MOV W0, W1"
0x8D58,RCALL,0x6090,"MOV.D W8, [W15++]"
0x8D64,RCALL,0x60E8,"MOV.D W8, [W15++]"
0x8D6E,RCALL,0x61A2,"MOV #0xFFFF, W4"
0x8D84,RCALL,0x61A6,"MOV #0x1, W4"
