0000	WREG0	0x00A7	167	00000000 10100111	'.§'
009A	IEC3	0x0000	0	00000000 00000000	'..'
009C	IEC4	0x0000	0	00000000 00000000	'..'
009E	IEC5	0x0000	0	00000000 00000000	'..'
00A0	IEC6	0x0000	0	00000000 00000000	'..'
00A2	IEC7	0x0000	0	00000000 00000000	'..'
00A4	IPC0	0x4444	17476	01000100 01000100	'DD'
00A6	IPC1	0x4444	17476	01000100 01000100	'DD'
00A8	IPC2	0x4444	17476	01000100 01000100	'DD'
00AA	IPC3	0x0444	1092	00000100 01000100	'.D'
00AC	IPC4	0x4444	17476	01000100 01000100	'DD'
00AE	IPC5	0x0004	4	00000000 00000100	'..'
00B0	IPC6	0x4444	17476	01000100 01000100	'DD'
00B2	IPC7	0x4444	17476	01000100 01000100	'DD'
00B4	IPC8	0x4444	17476	01000100 01000100	'DD'
00B6	IPC9	0x0444	1092	00000100 01000100	'.D'
00B8		----	-	-	--
00BA		----	-	-	--
00BC	IPC12	0x0440	1088	00000100 01000000	'.@'
00BE	IPC13	0x0440	1088	00000100 01000000	'.@'
00C0	IPC14	0x0440	1088	00000100 01000000	'.@'
00C2		----	-	-	--
00C4	IPC16	0x0440	1088	00000100 01000000	'.@'
00C6	IPC17	0x0400	1024	00000100 00000000	'..'
00C8	IPC18	0x4040	16448	01000000 01000000	'@@'
00CA		----	-	-	--
00CC		----	-	-	--
00CE	IPC21	0x0040	64	00000000 01000000	'.@'
00D0		----	-	-	--
00D2	IPC23	0x4400	17408	01000100 00000000	'D.'
00D4	IPC24	0x4444	17476	01000100 01000100	'DD'
00D6	IPC25	0x4000	16384	01000000 00000000	'@.'
00D8	IPC26	0x0044	68	00000000 01000100	'.D'
00DA	IPC27	0x4400	17408	01000100 00000000	'D.'
00DC	IPC28	0x4444	17476	01000100 01000100	'DD'
00DE	IPC29	0x0004	4	00000000 00000100	'..'
00E0	INTTREG	0x0000	0	00000000 00000000	'..'
00E2		----	-	-	--
00E4		----	-	-	--
00E6		----	-	-	--
00E8		----	-	-	--
00EA		----	-	-	--
00EC		----	-	-	--
00EE		----	-	-	--
00F0		----	-	-	--
00F2		----	-	-	--
00F4		----	-	-	--
00F6		----	-	-	--
00F8		----	-	-	--
00FA		----	-	-	--
00FC		----	-	-	--
00FE		----	-	-	--
0100	TMR1	0x0000	0	00000000 00000000	'..'
0102	PR1	0xFFFF	65535	11111111 11111111	'ÿÿ'
0104	T1CON	0x0000	0	00000000 00000000	'..'
0106	TMR2	0x0000	0	00000000 00000000	'..'
0108	TMR3HLD	0x0000	0	00000000 00000000	'..'
010A	TMR3	0x0000	0	00000000 00000000	'..'
010C	PR2	0xFFFF	65535	11111111 11111111	'ÿÿ'
010E	PR3	0xFFFF	65535	11111111 11111111	'ÿÿ'
0110	T2CON	0x0000	0	00000000 00000000	'..'
0112	T3CON	0x0000	0	00000000 00000000	'..'
0114	TMR4	0x0000	0	00000000 00000000	'..'
0116	TMR5HLD	0x0000	0	00000000 00000000	'..'
0118	TMR5	0x0000	0	00000000 00000000	'..'
011A	PR4	0xFFFF	65535	11111111 11111111	'ÿÿ'
011C	PR5	0xFFFF	65535	11111111 11111111	'ÿÿ'
011E	T4CON	0x0000	0	00000000 00000000	'..'
0120	T5CON	0x0000	0	00000000 00000000	'..'
0122		----	-	-	--
0124		----	-	-	--
0126		----	-	-	--
0128		----	-	-	--
012A		----	-	-	--
012C		----	-	-	--
012E		----	-	-	--
0130		----	-	-	--
0132		----	-	-	--
0134		----	-	-	--
0136		----	-	-	--
0138		----	-	-	--
013A		----	-	-	--
013C		----	-	-	--
013E		----	-	-	--
0140	IC1BUF	0x0000	0	00000000 00000000	'..'
0142	IC1CON	0x0000	0	00000000 00000000	'..'
0144	IC2BUF	0x0000	0	00000000 00000000	'..'
0146	IC2CON	0x0000	0	00000000 00000000	'..'
0148	IC3BUF	0x0000	0	00000000 00000000	'..'
014A	IC3CON	0x0000	0	00000000 00000000	'..'
014C	IC4BUF	0x0000	0	00000000 00000000	'..'
014E	IC4CON	0x0000	0	00000000 00000000	'..'
0150		----	-	-	--
0152		----	-	-	--
0154		----	-	-	--
0156		----	-	-	--
0158		----	-	-	--
015A		----	-	-	--
015C		----	-	-	--
015E		----	-	-	--
0160		----	-	-	--
0162		----	-	-	--
0164		----	-	-	--
0166		----	-	-	--
0168		----	-	-	--
016A		----	-	-	--
016C		----	-	-	--
016E		----	-	-	--
0170		----	-	-	--
0172		----	-	-	--
0174		----	-	-	--
0176		----	-	-	--
0178		----	-	-	--
017A		----	-	-	--
017C		----	-	-	--
017E		----	-	-	--
0180	OC1RS	0x0000	0	00000000 00000000	'..'
0182	OC1R	0x0000	0	00000000 00000000	'..'
0184	OC1CON	0x0000	0	00000000 00000000	'..'
0186	OC2RS	0x0000	0	00000000 00000000	'..'
0188	OC2R	0x0000	0	00000000 00000000	'..'
018A	OC2CON	0x0000	0	00000000 00000000	'..'
018C	OC3RS	0x0000	0	00000000 00000000	'..'
018E	OC3R	0x0000	0	00000000 00000000	'..'
0190	OC3CON	0x0000	0	00000000 00000000	'..'
0192	OC4RS	0x0000	0	00000000 00000000	'..'
0194	OC4R	0x0000	0	00000000 00000000	'..'
0196	OC4CON	0x0000	0	00000000 00000000	'..'
0198		----	-	-	--
019A		----	-	-	--
019C		----	-	-	--
019E		----	-	-	--
01A0		----	-	-	--
01A2		----	-	-	--
01A4		----	-	-	--
01A6		----	-	-	--
01A8		----	-	-	--
01AA		----	-	-	--
01AC		----	-	-	--
01AE		----	-	-	--
01B0		----	-	-	--
01B2		----	-	-	--
01B4		----	-	-	--
01B6		----	-	-	--
01B8		----	-	-	--
01BA		----	-	-	--
01BC		----	-	-	--
01BE		----	-	-	--
01C0		----	-	-	--
01C2		----	-	-	--
01C4		----	-	-	--
01C6		----	-	-	--
01C8		----	-	-	--
01CA		----	-	-	--
01CC		----	-	-	--
01CE		----	-	-	--
01D0		----	-	-	--
01D2		----	-	-	--
01D4		----	-	-	--
01D6		----	-	-	--
01D8		----	-	-	--
01DA		----	-	-	--
01DC		----	-	-	--
01DE		----	-	-	--
01E0	QEI1CON	0x0000	0	00000000 00000000	'..'
01E2	DFLT1CON	0x0000	0	00000000 00000000	'..'
01E4	POS1CNT	0x0000	0	00000000 00000000	'..'
01E6	MAX1CNT	0xFFFF	65535	11111111 11111111	'ÿÿ'
01E8		----	-	-	--
01EA		----	-	-	--
01EC		----	-	-	--
01EE		----	-	-	--
01F0	QEI2CON	0x0000	0	00000000 00000000	'..'
01F2	DFLT2CON	0x0000	0	00000000 00000000	'..'
01F4	POS2CNT	0x0000	0	00000000 00000000	'..'
01F6	MAX2CNT	0xFFFF	65535	11111111 11111111	'ÿÿ'
01F8		----	-	-	--
01FA		----	-	-	--
01FC		----	-	-	--
01FE		----	-	-	--
0200	I2C1RCV	0x0000	0	00000000 00000000	'..'
0202	I2C1TRN	0x00FF	255	00000000 11111111	'.ÿ'
0204	I2C1BRG	0x0000	0	00000000 00000000	'..'
0206	I2C1CON	0x1000	4096	00010000 00000000	'..'
0208	I2C1STAT	0x0000	0	00000000 00000000	'..'
020A	I2C1ADD	0x0000	0	00000000 00000000	'..'
020C	I2C1MSK	0x0000	0	00000000 00000000	'..'
020E		----	-	-	--
0210	I2C2RCV	0x0000	0	00000000 00000000	'..'
0212	I2C2TRN	0x00FF	255	00000000 11111111	'.ÿ'
0214	I2C2BRG	0x0000	0	00000000 00000000	'..'
0216	I2C2CON	0x1000	4096	00010000 00000000	'..'
0218	I2C2STAT	0x0000	0	00000000 00000000	'..'
021A	I2C2ADD	0x0000	0	00000000 00000000	'..'
021C	I2C2MSK	0x0000	0	00000000 00000000	'..'
021E		----	-	-	--
0220	U1MODE	0x0000	0	00000000 00000000	'..'
0222	U1STA	0x0110	272	00000001 00010000	'..'
0224	U1TXREG	0x0000	0	00000000 00000000	'..'
0226	U1RXREG	0x0000	0	00000000 00000000	'..'
0228	U1BRG	0x0000	0	00000000 00000000	'..'
022A		----	-	-	--
022C		----	-	-	--
022E		----	-	-	--
0230	U2MODE	0x0000	0	00000000 00000000	'..'
0232	U2STA	0x0110	272	00000001 00010000	'..'
0234	U2TXREG	0x0000	0	00000000 00000000	'..'
0236	U2RXREG	0x0000	0	00000000 00000000	'..'
0238	U2BRG	0x0000	0	00000000 00000000	'..'
023A		----	-	-	--
023C		----	-	-	--
023E		----	-	-	--
0240	SPI1STAT	0x0000	0	00000000 00000000	'..'
0242	SPI1CON1	0x0000	0	00000000 00000000	'..'
0244	SPI1CON2	0x0000	0	00000000 00000000	'..'
0246		----	-	-	--
0248	SPI1BUF	0x0000	0	00000000 00000000	'..'
024A		----	-	-	--
024C		----	-	-	--
024E		----	-	-	--
0250		----	-	-	--
0252		----	-	-	--
0254		----	-	-	--
0256		----	-	-	--
0258		----	-	-	--
025A		----	-	-	--
025C		----	-	-	--
025E		----	-	-	--
0260	SPI2STAT	0x0000	0	00000000 00000000	'..'
0262	SPI2CON1	0x0000	0	00000000 00000000	'..'
0264	SPI2CON2	0x0000	0	00000000 00000000	'..'
0266		----	-	-	--
0268	SPI2BUF	0x0000	0	00000000 00000000	'..'
026A		----	-	-	--
026C		----	-	-	--
026E		----	-	-	--
0270		----	-	-	--
0272		----	-	-	--
0274		----	-	-	--
0276		----	-	-	--
0278		----	-	-	--
027A		----	-	-	--
027C		----	-	-	--
027E		----	-	-	--
0280		----	-	-	--
0282		----	-	-	--
0284		----	-	-	--
0286		----	-	-	--
0288		----	-	-	--
028A		----	-	-	--
028C		----	-	-	--
028E		----	-	-	--
0290		----	-	-	--
0292		----	-	-	--
0294		----	-	-	--
0296		----	-	-	--
0298		----	-	-	--
029A		----	-	-	--
029C		----	-	-	--
029E		----	-	-	--
02A0		----	-	-	--
02A2		----	-	-	--
02A4		----	-	-	--
02A6		----	-	-	--
02A8		----	-	-	--
02AA		----	-	-	--
02AC		----	-	-	--
02AE		----	-	-	--
02B0		----	-	-	--
02B2		----	-	-	--
02B4		----	-	-	--
02B6		----	-	-	--
02B8		----	-	-	--
02BA		----	-	-	--
02BC		----	-	-	--
02BE		----	-	-	--
02C0		----	-	-	--
02C2		----	-	-	--
02C4		----	-	-	--
02C6		----	-	-	--
02C8	TRISB	0xFFFF	65535	11111111 11111111	'ÿÿ'
02CA	PORTB	0x0000	0	00000000 00000000	'..'
02CC	LATB	0x0000	0	00000000 00000000	'..'
02CE		----	-	-	--
02D0	TRISC	0xF000	61440	11110000 00000000	'ð.'
02D2	PORTC	0x0000	0	00000000 00000000	'..'
02D4	LATC	0x0000	0	00000000 00000000	'..'
02D6		----	-	-	--
02D8	TRISD	0x0FFF	4095	00001111 11111111	'.ÿ'
02DA	PORTD	0x0000	0	00000000 00000000	'..'
02DC	LATD	0x0000	0	00000000 00000000	'..'
02DE	ODCD	0x0000	0	00000000 00000000	'..'
02E0	TRISE	0x00FF	255	00000000 11111111	'.ÿ'
02E2	PORTE	0x0000	0	00000000 00000000	'..'
02E4	LATE	0x0000	0	00000000 00000000	'..'
02E6	ODCE	0x0000	0	00000000 00000000	'..'
02E8	TRISF	0x007F	127	00000000 01111111	'.'
02EA	PORTF	0x0000	0	00000000 00000000	'..'
02EC	LATF	0x0000	0	00000000 00000000	'..'
02EE	ODCF	0x0000	0	00000000 00000000	'..'
02F0	TRISG	0x03CC	972	00000011 11001100	'.Ì'
02F2	PORTG	0x0000	0	00000000 00000000	'..'
02F4	LATG	0x0000	0	00000000 00000000	'..'
02F6	ODCG	0x0000	0	00000000 00000000	'..'
02F8		----	-	-	--
02FA		----	-	-	--
02FC		----	-	-	--
02FE		----	-	-	--
0300	ADCON	0x0000	0	00000000 00000000	'..'
0302	ADPCFG	0x0000	0	00000000 00000000	'..'
0304		----	-	-	--
0306	ADSTAT	0x0000	0	00000000 00000000	'..'
0308	ADBASE	0x0000	0	00000000 00000000	'..'
030A	ADCPC0	0x0000	0	00000000 00000000	'..'
030C	ADCPC1	0x0000	0	00000000 00000000	'..'
030E	ADCPC2	0x0000	0	00000000 00000000	'..'
0310	ADCPC3	0x0000	0	00000000 00000000	'..'
0312		----	-	-	--
0314		----	-	-	--
0316	ADCPC6	0x0000	0	00000000 00000000	'..'
0318		----	-	-	--
031A		----	-	-	--
031C		----	-	-	--
031E		----	-	-	--
0320		----	-	-	--
0322		----	-	-	--
0324		----	-	-	--
0326		----	-	-	--
0328		----	-	-	--
032A		----	-	-	--
032C		----	-	-	--
032E		----	-	-	--
0330		----	-	-	--
0332		----	-	-	--
0334		----	-	-	--
0336		----	-	-	--
0338		----	-	-	--
033A		----	-	-	--
033C		----	-	-	--
033E		----	-	-	--
0340	ADCBUF0	0x0000	0	00000000 00000000	'..'
0342	ADCBUF1	0x0000	0	00000000 00000000	'..'
0344	ADCBUF2	0x0000	0	00000000 00000000	'..'
0346	ADCBUF3	0x0000	0	00000000 00000000	'..'
0348	ADCBUF4	0x0000	0	00000000 00000000	'..'
034A	ADCBUF5	0x0000	0	00000000 00000000	'..'
034C	ADCBUF6	0x0000	0	00000000 00000000	'..'
034E	ADCBUF7	0x0000	0	00000000 00000000	'..'
0350	ADCBUF8	0x0000	0	00000000 00000000	'..'
0352	ADCBUF9	0x0000	0	00000000 00000000	'..'
0354	ADCBUF10	0x0000	0	00000000 00000000	'..'
0356	ADCBUF11	0x0000	0	00000000 00000000	'..'
0358	ADCBUF12	0x0000	0	00000000 00000000	'..'
035A	ADCBUF13	0x0000	0	00000000 00000000	'..'
035C	ADCBUF14	0x0000	0	00000000 00000000	'..'
035E	ADCBUF15	0x0000	0	00000000 00000000	'..'
0360		----	-	-	--
0362		----	-	-	--
0364		----	-	-	--
0366		----	-	-	--
0368		----	-	-	--
036A		----	-	-	--
036C		----	-	-	--
036E		----	-	-	--
0370	ADCBUF24	0x0000	0	00000000 00000000	'..'
0372	ADCBUF25	0x0000	0	00000000 00000000	'..'
0374		----	-	-	--
0376		----	-	-	--
0378		----	-	-	--
037A		----	-	-	--
037C		----	-	-	--
037E		----	-	-	--
0380	DMA0CON	0x0000	0	00000000 00000000	'..'
0382	DMA0REQ	0x0000	0	00000000 00000000	'..'
0384	DMA0STA	0x0000	0	00000000 00000000	'..'
0386	DMA0STB	0x0000	0	00000000 00000000	'..'
0388	DMA0PAD	0x0000	0	00000000 00000000	'..'
038A	DMA0CNT	0x0000	0	00000000 00000000	'..'
038C	DMA1CON	0x0000	0	00000000 00000000	'..'
038E	DMA1REQ	0x0000	0	00000000 00000000	'..'
0390	DMA1STA	0x0000	0	00000000 00000000	'..'
0392	DMA1STB	0x0000	0	00000000 00000000	'..'
0394	DMA1PAD	0x0000	0	00000000 00000000	'..'
0396	DMA1CNT	0x0000	0	00000000 00000000	'..'
0398	DMA2CON	0x0000	0	00000000 00000000	'..'
039A	DMA2REQ	0x0000	0	00000000 00000000	'..'
039C	DMA2STA	0x0000	0	00000000 00000000	'..'
039E	DMA2STB	0x0000	0	00000000 00000000	'..'
03A0	DMA2PAD	0x0000	0	00000000 00000000	'..'
03A2	DMA2CNT	0x0000	0	00000000 00000000	'..'
03A4	DMA3CON	0x0000	0	00000000 00000000	'..'
03A6	DMA3REQ	0x0000	0	00000000 00000000	'..'
03A8	DMA3STA	0x0000	0	00000000 00000000	'..'
03AA	DMA3STB	0x0000	0	00000000 00000000	'..'
03AC	DMA3PAD	0x0000	0	00000000 00000000	'..'
03AE	DMA3CNT	0x0000	0	00000000 00000000	'..'
03B0		----	-	-	--
03B2		----	-	-	--
03B4		----	-	-	--
03B6		----	-	-	--
03B8		----	-	-	--
03BA		----	-	-	--
03BC		----	-	-	--
03BE		----	-	-	--
03C0		----	-	-	--
03C2		----	-	-	--
03C4		----	-	-	--
03C6		----	-	-	--
03C8		----	-	-	--
03CA		----	-	-	--
03CC		----	-	-	--
03CE		----	-	-	--
03D0		----	-	-	--
03D2		----	-	-	--
03D4		----	-	-	--
03D6		----	-	-	--
03D8		----	-	-	--
03DA		----	-	-	--
03DC		----	-	-	--
03DE		----	-	-	--
03E0	DMACS0	0x0000	0	00000000 00000000	'..'
03E2	DMACS1	0x0F00	3840	00001111 00000000	'..'
03E4	DSADR	0x0000	0	00000000 00000000	'..'
03E6		----	-	-	--
03E8		----	-	-	--
03EA		----	-	-	--
03EC		----	-	-	--
03EE		----	-	-	--
03F0		----	-	-	--
03F2		----	-	-	--
03F4		----	-	-	--
03F6		----	-	-	--
03F8		----	-	-	--
03FA		----	-	-	--
03FC		----	-	-	--
03FE		----	-	-	--
0400	PTCON	0x0000	0	00000000 00000000	'..'
0402	PTCON2	0x0001	1	00000000 00000001	'..'
0404	PTPER	0xFFFF	65535	11111111 11111111	'ÿÿ'
0406	SEVTCMP	0x0000	0	00000000 00000000	'..'
0408		----	-	-	--
040A	MDC	0x0000	0	00000000 00000000	'..'
040C		----	-	-	--
040E	STCON	0x0000	0	00000000 00000000	'..'
0410	STCON2	0x0000	0	00000000 00000000	'..'
0412	STPER	0xFFFF	65535	11111111 11111111	'ÿÿ'
0414	SSEVTCMP	0x0000	0	00000000 00000000	'..'
0416		----	-	-	--
0418		----	-	-	--
041A	CHOP	0x0000	0	00000000 00000000	'..'
041C		----	-	-	--
041E		----	-	-	--
0420	PWMCON1	0x0000	0	00000000 00000000	'..'
0422	IOCON1	0x0000	0	00000000 00000000	'..'
0424	FCLCON1	0x0000	0	00000000 00000000	'..'
0426	PDC1	0x0000	0	00000000 00000000	'..'
0428	PHASE1	0x0000	0	00000000 00000000	'..'
042A	DTR1	0x0000	0	00000000 00000000	'..'
042C	ALTDTR1	0x0000	0	00000000 00000000	'..'
042E	SDC1	0x0000	0	00000000 00000000	'..'
0430	SPHASE1	0x0000	0	00000000 00000000	'..'
0432	TRIG1	0x0000	0	00000000 00000000	'..'
0434	TRGCON1	0x0000	0	00000000 00000000	'..'
0436	STRIG1	0x0000	0	00000000 00000000	'..'
0438	PWMCAP1	0x0000	0	00000000 00000000	'..'
043A	LEBCON1	0x0000	0	00000000 00000000	'..'
043C	LEBDLY1	0x0000	0	00000000 00000000	'..'
043E	AUXCON1	0x0000	0	00000000 00000000	'..'
0440	PWMCON2	0x0000	0	00000000 00000000	'..'
0442	IOCON2	0x0000	0	00000000 00000000	'..'
0444	FCLCON2	0x0000	0	00000000 00000000	'..'
0446	PDC2	0x0000	0	00000000 00000000	'..'
0448	PHASE2	0x0000	0	00000000 00000000	'..'
044A	DTR2	0x0000	0	00000000 00000000	'..'
044C	ALTDTR2	0x0000	0	00000000 00000000	'..'
044E	SDC2	0x0000	0	00000000 00000000	'..'
0450	SPHASE2	0x0000	0	00000000 00000000	'..'
0452	TRIG2	0x0000	0	00000000 00000000	'..'
0454	TRGCON2	0x0000	0	00000000 00000000	'..'
0456	STRIG2	0x0000	0	00000000 00000000	'..'
0458	PWMCAP2	0x0000	0	00000000 00000000	'..'
045A	LEBCON2	0x0000	0	00000000 00000000	'..'
045C	LEBDLY2	0x0000	0	00000000 00000000	'..'
045E	AUXCON2	0x0000	0	00000000 00000000	'..'
0460	PWMCON3	0x0000	0	00000000 00000000	'..'
0462	IOCON3	0x0000	0	00000000 00000000	'..'
0464	FCLCON3	0x0000	0	00000000 00000000	'..'
0466	PDC3	0x0000	0	00000000 00000000	'..'
0468	PHASE3	0x0000	0	00000000 00000000	'..'
046A	DTR3	0x0000	0	00000000 00000000	'..'
046C	ALTDTR3	0x0000	0	00000000 00000000	'..'
046E	SDC3	0x0000	0	00000000 00000000	'..'
0470	SPHASE3	0x0000	0	00000000 00000000	'..'
0472	TRIG3	0x0000	0	00000000 00000000	'..'
0474	TRGCON3	0x0000	0	00000000 00000000	'..'
0476	STRIG3	0x0000	0	00000000 00000000	'..'
0478	PWMCAP3	0x0000	0	00000000 00000000	'..'
047A	LEBCON3	0x0000	0	00000000 00000000	'..'
047C	LEBDLY3	0x0000	0	00000000 00000000	'..'
047E	AUXCON3	0x0000	0	00000000 00000000	'..'
0480	PWMCON4	0x0000	0	00000000 00000000	'..'
0482	IOCON4	0x0000	0	00000000 00000000	'..'
0484	FCLCON4	0x0000	0	00000000 00000000	'..'
0486	PDC4	0x0000	0	00000000 00000000	'..'
0488	PHASE4	0x0000	0	00000000 00000000	'..'
048A	DTR4	0x0000	0	00000000 00000000	'..'
048C	ALTDTR4	0x0000	0	00000000 00000000	'..'
048E	SDC4	0x0000	0	00000000 00000000	'..'
0490	SPHASE4	0x0000	0	00000000 00000000	'..'
0492	TRIG4	0x0000	0	00000000 00000000	'..'
0494	TRGCON4	0x0000	0	00000000 00000000	'..'
0496	STRIG4	0x0000	0	00000000 00000000	'..'
0498	PWMCAP4	0x0000	0	00000000 00000000	'..'
049A	LEBCON4	0x0000	0	00000000 00000000	'..'
049C	LEBDLY4	0x0000	0	00000000 00000000	'..'
049E	AUXCON4	0x0000	0	00000000 00000000	'..'
04A0	PWMCON5	0x0000	0	00000000 00000000	'..'
04A2	IOCON5	0x0000	0	00000000 00000000	'..'
04A4	FCLCON5	0x0000	0	00000000 00000000	'..'
04A6	PDC5	0x0000	0	00000000 00000000	'..'
04A8	PHASE5	0x0000	0	00000000 00000000	'..'
04AA	DTR5	0x0000	0	00000000 00000000	'..'
04AC	ALTDTR5	0x0000	0	00000000 00000000	'..'
04AE	SDC5	0x0000	0	00000000 00000000	'..'
04B0	SPHASE5	0x0000	0	00000000 00000000	'..'
04B2	TRIG5	0x0000	0	00000000 00000000	'..'
04B4	TRGCON5	0x0000	0	00000000 00000000	'..'
04B6	STRIG5	0x0000	0	00000000 00000000	'..'
04B8	PWMCAP5	0x0000	0	00000000 00000000	'..'
04BA	LEBCON5	0x0000	0	00000000 00000000	'..'
04BC	LEBDLY5	0x0000	0	00000000 00000000	'..'
04BE	AUXCON5	0x0000	0	00000000 00000000	'..'
04C0	PWMCON6	0x0000	0	00000000 00000000	'..'
04C2	IOCON6	0x0000	0	00000000 00000000	'..'
04C4	FCLCON6	0x0000	0	00000000 00000000	'..'
04C6	PDC6	0x0000	0	00000000 00000000	'..'
04C8	PHASE6	0x0000	0	00000000 00000000	'..'
04CA	DTR6	0x0000	0	00000000 00000000	'..'
04CC	ALTDTR6	0x0000	0	00000000 00000000	'..'
04CE	SDC6	0x0000	0	00000000 00000000	'..'
04D0	SPHASE6	0x0000	0	00000000 00000000	'..'
04D2	TRIG6	0x0000	0	00000000 00000000	'..'
04D4	TRGCON6	0x0000	0	00000000 00000000	'..'
04D6	STRIG6	0x0000	0	00000000 00000000	'..'
04D8	PWMCAP6	0x0000	0	00000000 00000000	'..'
04DA	LEBCON6	0x0000	0	00000000 00000000	'..'
04DC	LEBDLY6	0x0000	0	00000000 00000000	'..'
04DE	AUXCON6	0x0000	0	00000000 00000000	'..'
04E0		----	-	-	--
04E2		----	-	-	--
04E4		----	-	-	--
04E6		----	-	-	--
04E8		----	-	-	--
04EA		----	-	-	--
04EC		----	-	-	--
04EE		----	-	-	--
04F0		----	-	-	--
04F2		----	-	-	--
04F4		----	-	-	--
04F6		----	-	-	--
04F8		----	-	-	--
04FA		----	-	-	--
04FC		----	-	-	--
04FE		----	-	-	--
0500		----	-	-	--
0502		----	-	-	--
0504		----	-	-	--
0506		----	-	-	--
0508		----	-	-	--
050A		----	-	-	--
050C		----	-	-	--
050E		----	-	-	--
0510		----	-	-	--
0512		----	-	-	--
0514		----	-	-	--
0516		----	-	-	--
0518		----	-	-	--
051A		----	-	-	--
051C		----	-	-	--
051E		----	-	-	--
0520		----	-	-	--
0522		----	-	-	--
0524		----	-	-	--
0526		----	-	-	--
0528		----	-	-	--
052A		----	-	-	--
052C		----	-	-	--
052E		----	-	-	--
0530		----	-	-	--
0532		----	-	-	--
0534		----	-	-	--
0536		----	-	-	--
0538		----	-	-	--
053A		----	-	-	--
053C		----	-	-	--
053E		----	-	-	--
0540	CMPCON1	0x0000	0	00000000 00000000	'..'
0542	CMPDAC1	0x0000	0	00000000 00000000	'..'
0544	CMPCON2	0x0000	0	00000000 00000000	'..'
0546	CMPDAC2	0x0000	0	00000000 00000000	'..'
0548	CMPCON3	0x0000	0	00000000 00000000	'..'
